"","lambda","TP","FP","TN","FN"
"1",0.3,108,36,1065,16
"2",0.3,103,38,1063,21
"3",0.3,103,46,1055,21
"4",0.3,99,41,1060,25
"5",0.4,92,23,1078,32
"6",0.3,106,53,1048,18
"7",0.3,100,42,1059,24
"8",0.3,104,40,1061,20
"9",0.3,109,42,1059,15
"10",0.3,107,35,1066,17
"11",0.4,97,20,1081,27
"12",0.3,103,37,1064,21
"13",0.3,101,58,1043,23
"14",0.4,91,13,1088,33
"15",0.3,108,41,1060,16
"16",0.3,109,50,1051,15
"17",0.3,108,47,1054,16
"18",0.3,107,37,1064,17
"19",0.4,96,20,1081,28
"20",0.3,97,32,1069,27
"21",0.3,105,42,1059,19
"22",0.4,95,19,1082,29
"23",0.3,96,39,1062,28
"24",0.4,91,22,1079,33
"25",0.3,101,44,1057,23
"26",0.4,92,22,1079,32
"27",0.3,107,32,1069,17
"28",0.3,102,39,1062,22
"29",0.3,105,38,1063,19
"30",0.3,103,52,1049,21
"31",0.3,99,37,1064,25
"32",0.3,102,38,1063,22
"33",0.3,106,45,1056,18
"34",0.3,112,48,1053,12
"35",0.4,89,16,1085,35
"36",0.3,104,48,1053,20
"37",0.4,90,20,1081,34
"38",0.3,104,42,1059,20
"39",0.3,104,61,1040,20
"40",0.3,106,38,1063,18
"41",0.3,106,59,1042,18
"42",0.3,108,40,1061,16
"43",0.4,86,26,1075,38
"44",0.3,103,44,1057,21
"45",0.4,92,17,1084,32
"46",0.3,110,35,1066,14
"47",0.3,106,44,1057,18
"48",0.3,106,34,1067,18
"49",0.4,82,18,1083,42
"50",0.3,110,37,1064,14
